# APEX, Llano de Chajnantor, alt. 5100m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
            0.500    0.800    1.000    1.500    2.000 
 200.000    0.968    0.954    0.944    0.922    0.899 
 200.100    0.968    0.954    0.945    0.922    0.899 
 200.200    0.968    0.954    0.945    0.922    0.899 
 200.300    0.968    0.954    0.945    0.922    0.900 
 200.400    0.968    0.954    0.945    0.922    0.900 
 200.500    0.968    0.954    0.945    0.923    0.900 
 200.600    0.968    0.954    0.945    0.923    0.900 
 200.700    0.968    0.955    0.945    0.923    0.901 
 200.800    0.968    0.955    0.946    0.923    0.901 
 200.900    0.968    0.955    0.946    0.923    0.901 
 201.000    0.968    0.955    0.946    0.923    0.901 
 201.100    0.968    0.955    0.946    0.923    0.901 
 201.200    0.968    0.955    0.946    0.924    0.901 
 201.300    0.968    0.955    0.946    0.924    0.901 
 201.400    0.968    0.955    0.946    0.924    0.901 
 201.500    0.968    0.955    0.946    0.924    0.902 
 201.600    0.968    0.955    0.946    0.924    0.902 
 201.700    0.968    0.955    0.946    0.924    0.902 
 201.800    0.968    0.955    0.946    0.924    0.902 
 201.900    0.968    0.955    0.946    0.924    0.901 
 202.000    0.968    0.955    0.946    0.923    0.901 
 202.100    0.968    0.955    0.946    0.923    0.901 
 202.200    0.968    0.955    0.946    0.923    0.901 
 202.300    0.968    0.954    0.945    0.923    0.901 
 202.400    0.968    0.954    0.945    0.923    0.900 
 202.500    0.968    0.954    0.945    0.922    0.900 
 202.600    0.968    0.954    0.945    0.922    0.900 
 202.700    0.968    0.954    0.945    0.922    0.899 
 202.800    0.968    0.954    0.944    0.921    0.899 
 202.900    0.967    0.953    0.944    0.921    0.898 
 203.000    0.967    0.953    0.944    0.921    0.898 
 203.100    0.967    0.953    0.944    0.920    0.897 
 203.200    0.967    0.953    0.943    0.920    0.897 
 203.300    0.967    0.953    0.943    0.920    0.897 
 203.400    0.966    0.952    0.943    0.919    0.896 
 203.500    0.966    0.952    0.943    0.920    0.896 
 203.600    0.967    0.953    0.944    0.920    0.897 
 203.700    0.967    0.953    0.944    0.921    0.898 
 203.800    0.968    0.954    0.944    0.922    0.899 
 203.900    0.968    0.954    0.945    0.922    0.900 
 204.000    0.968    0.954    0.945    0.923    0.900 
 204.100    0.968    0.955    0.946    0.923    0.901 
 204.200    0.968    0.955    0.946    0.924    0.902 
 204.300    0.969    0.955    0.947    0.925    0.903 
 204.400    0.969    0.956    0.947    0.925    0.904 
 204.500    0.969    0.956    0.947    0.926    0.904 
 204.600    0.969    0.956    0.948    0.926    0.905 
 204.700    0.969    0.957    0.948    0.927    0.906 
 204.800    0.969    0.957    0.948    0.927    0.906 
 204.900    0.970    0.957    0.949    0.928    0.907 
 205.000    0.970    0.957    0.949    0.928    0.907 
 205.100    0.970    0.957    0.949    0.928    0.908 
 205.200    0.970    0.957    0.949    0.928    0.908 
 205.300    0.970    0.958    0.949    0.929    0.908 
 205.400    0.970    0.958    0.950    0.929    0.909 
 205.500    0.970    0.958    0.950    0.929    0.909 
 205.600    0.970    0.958    0.950    0.929    0.909 
 205.700    0.970    0.958    0.950    0.930    0.909 
 205.800    0.970    0.958    0.950    0.930    0.910 
 205.900    0.970    0.958    0.950    0.930    0.910 
 206.000    0.969    0.957    0.949    0.929    0.909 
 206.100    0.966    0.954    0.946    0.926    0.906 
 206.200    0.968    0.956    0.948    0.928    0.908 
 206.300    0.970    0.958    0.950    0.930    0.910 
 206.400    0.970    0.958    0.950    0.930    0.911 
 206.500    0.970    0.958    0.950    0.931    0.911 
 206.600    0.970    0.959    0.951    0.931    0.911 
 206.700    0.971    0.959    0.951    0.931    0.912 
 206.800    0.971    0.959    0.951    0.931    0.912 
 206.900    0.971    0.959    0.951    0.932    0.912 
 207.000    0.971    0.959    0.951    0.932    0.912 
 207.100    0.971    0.959    0.951    0.932    0.912 
 207.200    0.971    0.959    0.951    0.932    0.912 
 207.300    0.971    0.959    0.951    0.932    0.912 
 207.400    0.971    0.959    0.951    0.932    0.913 
 207.500    0.971    0.959    0.951    0.932    0.912 
 207.600    0.971    0.959    0.951    0.932    0.913 
 207.700    0.971    0.959    0.951    0.932    0.913 
 207.800    0.971    0.959    0.951    0.932    0.913 
 207.900    0.970    0.959    0.951    0.932    0.913 
 208.000    0.970    0.959    0.951    0.932    0.912 
 208.100    0.970    0.958    0.951    0.931    0.912 
 208.200    0.969    0.958    0.950    0.931    0.912 
 208.300    0.968    0.957    0.949    0.930    0.911 
 208.400    0.966    0.955    0.947    0.928    0.909 
 208.500    0.962    0.951    0.943    0.924    0.905 
 208.600    0.945    0.934    0.927    0.908    0.889 
 208.700    0.950    0.939    0.931    0.913    0.894 
 208.800    0.963    0.952    0.944    0.925    0.906 
 208.900    0.967    0.956    0.948    0.929    0.910 
 209.000    0.969    0.957    0.950    0.931    0.912 
 209.100    0.970    0.958    0.951    0.932    0.913 
 209.200    0.970    0.959    0.951    0.932    0.913 
 209.300    0.970    0.959    0.951    0.933    0.914 
 209.400    0.971    0.959    0.952    0.933    0.914 
 209.500    0.971    0.959    0.952    0.933    0.914 
 209.600    0.971    0.960    0.952    0.933    0.914 
 209.700    0.971    0.960    0.952    0.934    0.915 
 209.800    0.971    0.960    0.952    0.934    0.915 
 209.900    0.971    0.960    0.952    0.934    0.915 
 210.000    0.971    0.960    0.952    0.933    0.915 
 210.100    0.971    0.960    0.952    0.933    0.915 
 210.200    0.970    0.959    0.952    0.933    0.914 
 210.300    0.970    0.959    0.952    0.933    0.914 
 210.400    0.969    0.957    0.950    0.931    0.912 
 210.500    0.969    0.958    0.951    0.932    0.913 
 210.600    0.969    0.958    0.950    0.931    0.913 
 210.700    0.966    0.955    0.947    0.929    0.910 
 210.800    0.952    0.941    0.934    0.916    0.897 
 210.900    0.967    0.955    0.948    0.929    0.911 
 211.000    0.969    0.958    0.951    0.932    0.913 
 211.100    0.970    0.959    0.952    0.933    0.914 
 211.200    0.971    0.960    0.952    0.933    0.915 
 211.300    0.971    0.960    0.952    0.934    0.915 
 211.400    0.971    0.960    0.953    0.934    0.915 
