Wavelength_or_Frequency,Flux
0.1,1.113951001104e-32
0.1317944,1.0268899417950001e-27
0.1736977,3.2628222260000003e-25
0.2289238,2.11116683256e-23
0.3017088,4.0992791223060003e-22
0.3976354,3.225223840356e-21
0.5240612,1.239114896078e-20
0.6906834,2.859763449652e-20
0.9102821,4.3822047977e-20
1.199701,5.052112851443e-20
1.581139,4.7910977937379997e-20
2.083853,3.9377636444239997e-20
2.746401,2.94535657918e-20
3.619604,2.025428109054e-20
4.770435,1.3495849585399999e-20
6.287167,9.415150547422001e-21
8.286135,1.5118556480649998e-20
10.92066,8.57091464231e-20
14.39282,9.254851804672999e-20
18.96894,1.754165202883e-19
25.0,1.699561941003e-19
26.99438,1.643950972018e-19
29.14786,1.597760927452e-19
31.47314,1.5790470624920001e-19
33.98391,1.505389192881e-19
36.69498,1.4697647756210002e-19
39.62233,1.431088187793e-19
42.78321,1.37343719773e-19
46.19624,1.3841502259690001e-19
49.88156,1.363601193566e-19
53.86087,1.26300862674e-19
58.15763,1.4301291948710001e-19
62.79716,1.224478124205e-19
67.80681,1.283391776644e-19
73.21611,1.405351378868e-19
79.05694,1.410078651935e-19
85.36372,1.270989522906e-19
92.17363,1.507164471028e-19
99.52679,1.327643593099e-19
107.4666,1.438403581452e-19
116.0397,1.530435607288e-19
125.2968,1.614674049315e-19
135.2924,1.636934679329e-19
146.0854,1.8595016119760002e-19
157.7393,1.898119563622e-19
170.323,2.183225223033e-19
183.9106,2.0969845511510002e-19
198.5821,2.21346649216e-19
214.424,2.2136582960300003e-19
231.5297,2.24941815422e-19
250.0,2.228106927946e-19
259.4911,2.259284353851e-19
269.3425,2.325872015121e-19
279.5679,2.324163653048e-19
290.1815,2.312530948138e-19
301.198,2.355876251797e-19
312.6328,2.422064844988e-19
324.5017,2.436045122161e-19
336.8212,2.435190629842e-19
349.6084,2.47109801759e-19
362.881,2.266822672357e-19
376.6575,2.371047400428e-19
390.9571,2.294206891376e-19
405.7995,2.1533022494060002e-19
421.2054,2.041714135598e-19
437.1962,2.1423801155460001e-19
453.794,2.137487552026e-19
471.022,1.84447517312e-19
488.9041,1.688696776684e-19
507.465,1.477827614195e-19
526.7305,1.322956541577e-19
546.7275,1.202956732389e-19
567.4836,1.162081777313e-19
589.0278,1.2321995975600001e-19
611.3898,1.198862691454e-19
634.6008,1.151423980151e-19
658.693,1.29522759761e-19
683.6998,1.189186124011e-19
709.656,1.128480110423e-19
736.5976,9.868074227338e-20
764.562,9.095092444178e-20
793.5881,8.210886412114999e-20
823.7162,6.673425848202999e-20
854.988,5.503222141818e-20
887.447,4.627530077505e-20
921.1383,3.7491486704819997e-20
956.1087,3.232310643569e-20
992.4067,2.762508512361e-20
1030.083,2.212694447229e-20
1069.189,1.866120251021e-20
1109.78,1.593891984591e-20
1151.912,1.290374842219e-20
1195.644,1.0560522440699999e-20
1241.036,8.771806122229001e-21
1288.151,7.399018575254e-21
1337.054,6.228572299543e-21
1387.815,5.159135128305e-21
1440.502,4.3311454963160004e-21
1495.19,3.7161854422880005e-21
1551.954,3.045370238994e-21
1610.873,2.580980718619e-21
1672.028,2.138931575873e-21
1735.506,1.811601547195e-21
1801.393,1.542450139681e-21
1869.782,1.3118208096510001e-21
1940.767,1.140001234452e-21
2014.447,9.528735264458e-22
2090.924,7.973995114276e-22
2170.304,6.953465171616001e-22
2252.698,5.951698140803001e-22
2338.22,5.035056027345e-22
2426.989,4.2158900465640004e-22
2519.128,3.709870894734e-22
2614.765,3.1280279074460003e-22
2714.033,2.731311268457e-22
2817.07,2.360481942942e-22
2924.018,2.021373258891e-22
3035.026,1.715484868877e-22
3150.249,1.476839201901e-22
3269.846,1.273852111813e-22
3393.983,1.098870856453e-22
3522.834,9.348329272609e-23
3656.576,7.933823764948e-23
3795.395,7.013642384250001e-23
3939.485,5.941402248559e-23
4089.044,5.2068333042520003e-23
4244.282,4.4344391308610004e-23
4405.413,3.886620512922e-23
4572.662,3.3343838144740004e-23
4746.26,2.882455989235e-23
4926.448,2.4495034940140002e-23
5113.478,2.121302527283e-23
5307.607,1.816642085922e-23
5509.107,1.563034383896e-23
5718.257,1.341865120613e-23
5935.346,1.160665817256e-23
6160.678,9.998616388753e-24
6394.564,8.619969483934e-24
6637.329,7.443944583399e-24
6889.31,6.417555021515e-24
7150.858,5.536365303218e-24
7422.336,4.778588207102e-24
7704.12,4.127287618289e-24
7996.602,3.55226119169e-24
8300.187,3.055691605349e-24
8615.298,2.635323023604e-24
8942.372,2.273094491211e-24
9281.863,1.9583806476939998e-24
9634.243,1.689730221177e-24
10000.0,1.452541696578e-24
